id,user_request,intent,operation,target_field,filter_count,grouping_count,has_date_filter,has_multiple_criteria,target_data_type,formula_label
1,Hitung total produksi TBS olah seluruh PKS,aggregation,SUM,tbs_olah_ton,0,0,0,0,numeric,SUM
2,Berapa grand total penerimaan TBS,aggregation,SUM,tbs_terima_ton,0,0,0,0,numeric,SUM
3,Hitung total harga netto penjualan,aggregation,SUM,Harga_Netto,0,0,0,0,numeric,SUM
4,Berapa total kuantitas stok solar,aggregation,SUM,volume_liter,0,0,0,0,numeric,SUM
5,Jumlahkan seluruh biaya lembur karyawan,aggregation,SUM,biaya_lembur,0,0,0,0,numeric,SUM
6,Total pendapatan kotor tahun berjalan,aggregation,SUM,gross_revenue,0,0,0,0,numeric,SUM
7,Hitung total produksi CPO untuk PKS Sei Galuh,aggregation,SUM,cpo_prod_ton,1,0,0,0,numeric,SUMIF
8,Total penjualan mobil Toyota di dealer,aggregation,SUM,Harga_Netto,1,0,0,0,numeric,SUMIF
9,Berapa total TBS olah pada shift Pagi,aggregation,SUM,tbs_olah_ton,1,0,0,0,numeric,SUMIF
10,Hitung penerimaan TBS dari Afdeling I,aggregation,SUM,tbs_terima_ton,1,0,0,0,numeric,SUMIF
11,Total penjualan di Kota Pekanbaru,aggregation,SUM,Harga_Netto,1,0,0,0,numeric,SUMIF
12,Berapa total volume solar untuk generator 1,aggregation,SUM,volume_liter,1,0,0,0,numeric,SUMIF
13,Hitung total jam kerja departemen QC,aggregation,SUM,jam_kerja,1,0,0,0,numeric,SUMIF
14,Total biaya pemeliharaan mesin Press 02,aggregation,SUM,biaya_rupiah,1,0,0,0,numeric,SUMIF
15,Total produksi CPO PKS Lubuk Dalam pada bulan Februari 2024,aggregation,SUM,cpo_prod_ton,2,0,1,1,numeric,SUMIFS
16,Hitung total penjualan Toyota di Pekanbaru pada Februari 2024,aggregation,SUM,Harga_Netto,2,0,1,1,numeric,SUMIFS
17,Berapa total TBS olah afdeling III shift Pagi pada tanggal 10 Feb 2024,aggregation,SUM,tbs_olah_ton,3,0,1,1,numeric,SUMIFS
18,Total pengeluaran pupuk Urea di Kebun Tandun periode Q1,aggregation,SUM,qty_sak,2,0,1,1,numeric,SUMIFS
19,Hitung omset Daihatsu transmisi Matic di Kampar 2024,aggregation,SUM,Harga_Netto,3,0,0,1,numeric,SUMIFS
20,Total volume CPO terkirim ke Belawan via Truk Tangki A pada Januari,aggregation,SUM,volume_ton,3,0,1,1,numeric,SUMIFS
21,Total produksi kernel PKS Sei Rokan sortasi Grade A bulan Maret,aggregation,SUM,kernel_prod_ton,2,0,1,1,numeric,SUMIFS
22,Total penjualan SUV transmisi Automatic tahun 2024,aggregation,SUM,Harga_Netto,2,0,1,1,numeric,SUMIFS
23,Berapa rata-rata rendemen CPO seluruh pabrik,aggregation,AVERAGE,rendemen_cpo_pct,0,0,0,0,numeric,AVERAGE
24,Hitung rata-rata kadar air kernel,aggregation,AVERAGE,kadar_air_pct,0,0,0,0,numeric,AVERAGE
25,Rata-rata harga jual unit mobil,aggregation,AVERAGE,Harga_Netto,0,0,0,0,numeric,AVERAGE
26,Berapa rata-rata TBS olah per hari,aggregation,AVERAGE,tbs_olah_ton,0,0,0,0,numeric,AVERAGE
27,Rata-rata jam kerja staf pabrik,aggregation,AVERAGE,jam_kerja,0,0,0,0,numeric,AVERAGE
28,Hitung rata-rata diskon penjualan kendaraan,aggregation,AVERAGE,Diskon_Nominal,0,0,0,0,numeric,AVERAGE
29,Berapa rata-rata rendemen CPO di PKS Tandun,aggregation,AVERAGE,rendemen_cpo_pct,1,0,0,0,numeric,AVERAGEIF
30,Rata-rata harga jual mobil merek Honda,aggregation,AVERAGE,Harga_Netto,1,0,0,0,numeric,AVERAGEIF
31,Hitung rata-rata kadar asam lemak bebas FFA untuk CPO Tangki 01,aggregation,AVERAGE,ffa_pct,1,0,0,0,numeric,AVERAGEIF
32,Rata-rata TBS olah khusus shift Malam,aggregation,AVERAGE,tbs_olah_ton,1,0,0,0,numeric,AVERAGEIF
33,Berapa rata-rata diskon di Pekanbaru,aggregation,AVERAGE,Diskon_Nominal,1,0,0,0,numeric,AVERAGEIF
34,Rata-rata pemakaian solar traktor kebun Rayon B,aggregation,AVERAGE,solar_liter,1,0,0,0,numeric,AVERAGEIF
35,Hitung rata-rata rendemen CPO PKS Sei Tapung periode Februari 2024,aggregation,AVERAGE,rendemen_cpo_pct,2,0,1,1,numeric,AVERAGEIFS
36,Rata-rata harga jual Toyota Avanza pada kuartal 1,aggregation,AVERAGE,Harga_Netto,2,0,1,1,numeric,AVERAGEIFS
37,Berapa rata-rata FFA CPO Grade Super pada bulan Januari di PKS Galuh,aggregation,AVERAGE,ffa_pct,2,0,1,1,numeric,AVERAGEIFS
